front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
5.0,0.5,5.0,0.05,1.0,0.4232121115577957,10.8
5.0,0.5,5.0,0.060000000000000005,1.0,0.5592114616251226,17.1
5.0,0.5,5.0,0.07,1.0,0.5996409811692931,20.8
5.0,0.5,5.0,0.08000000000000002,1.0,0.6385301190692074,23.0
5.0,0.5,5.0,0.09000000000000001,1.0,0.6821375483890152,24.9
5.0,0.5,5.0,0.1,1.0,0.6958622869251575,25.0
5.0,0.5,5.0,0.11000000000000001,1.0,0.7303783706414657,26.9
5.0,0.5,5.0,0.12000000000000001,1.0,0.7396989354589386,27.0
5.0,0.5,5.0,0.13,1.0,0.7651167188716722,27.3
5.0,0.5,5.0,0.14,1.0,0.7815702853217978,28.8
5.0,0.5,5.0,0.15000000000000002,1.0,0.7889896894758216,29.0
5.0,0.5,5.0,0.16000000000000003,1.0,0.8008434993938737,29.0
5.0,0.5,5.0,0.17000000000000004,1.0,0.813363988622829,29.0
5.0,0.5,5.0,0.18000000000000005,1.0,0.8192496936234255,29.7
5.0,0.5,5.0,0.19,1.0,0.8340471267515935,30.1
5.0,0.5,5.0,0.2,1.0,0.8378446262267485,30.9
5.0,0.5,5.0,0.21000000000000002,1.0,0.8483965060107265,31.0
5.0,0.5,5.0,0.22000000000000003,1.0,0.8502042149441011,31.0
5.0,0.5,5.0,0.23000000000000004,1.0,0.8560335579485899,31.0
5.0,0.5,5.0,0.24000000000000005,1.0,0.8617104178810011,31.0
5.0,0.5,5.0,0.25000000000000006,1.0,0.8669012743890644,31.0
5.0,0.5,5.0,0.26000000000000006,1.0,0.8718163927560353,31.0
5.0,0.5,5.0,0.27,1.0,0.8761729904858351,31.0
5.0,0.5,5.0,0.28,1.0,0.8770882737617708,31.0
5.0,0.5,5.0,0.29000000000000004,1.0,0.887629237353854,31.0
5.0,0.5,5.0,0.30000000000000004,1.0,0.8872785487067665,31.2
5.0,0.5,5.0,0.31000000000000005,1.0,0.8916209929399497,31.6
5.0,0.5,5.0,0.32000000000000006,1.0,0.8968854463185923,31.7
5.0,0.5,5.0,0.33,1.0,0.9000703908015006,32.1
5.0,0.5,5.0,0.34,1.0,0.9049757641791227,32.5
5.0,0.5,5.0,0.35000000000000003,1.0,0.904323538922292,32.8
5.0,0.5,5.0,0.36000000000000004,1.0,0.9081950284836736,32.9
5.0,0.5,5.0,0.37000000000000005,1.0,0.9066104626784718,32.9
5.0,0.5,5.0,0.38000000000000006,1.0,0.9137612872514633,33.0
5.0,0.5,5.0,0.39000000000000007,1.0,0.9143717504474566,33.0
5.0,0.5,5.0,0.4000000000000001,1.0,0.9126521621906427,32.9
5.0,0.5,5.0,0.4100000000000001,1.0,0.9184797139981224,33.0
5.0,0.5,5.0,0.42000000000000004,1.0,0.9188548489856307,33.0
5.0,0.5,5.0,0.43000000000000005,1.0,0.9234834584074413,33.0
5.0,0.5,5.0,0.44000000000000006,1.0,0.9249869713187424,33.0
5.0,0.5,5.0,0.45000000000000007,1.0,0.9246271253803788,33.0
5.0,0.5,5.0,0.4600000000000001,1.0,0.9255251514562113,33.0
5.0,0.5,5.0,0.4700000000000001,1.0,0.9261143480696186,33.0
5.0,0.5,5.0,0.4800000000000001,1.0,0.928978671566313,33.0
5.0,0.5,5.0,0.49000000000000005,1.0,0.9265031766136115,33.0
5.0,0.5,5.0,0.5000000000000001,1.0,0.9310220930531676,33.0
5.0,0.5,8.0,0.05,1.0,0.5843163750140186,67.8
5.0,0.5,8.0,0.060000000000000005,1.0,0.5669712800785391,70.0
5.0,0.5,8.0,0.07,1.0,0.6744767765711781,72.0
5.0,0.5,8.0,0.08000000000000002,1.0,0.705636522009797,74.0
5.0,0.5,8.0,0.09000000000000001,1.0,0.6898568236896168,74.0
5.0,0.5,8.0,0.1,1.0,0.6981993802168897,76.0
5.0,0.5,8.0,0.11000000000000001,1.0,0.7407275819169542,76.0
5.0,0.5,8.0,0.12000000000000001,1.0,0.7596669292596212,76.0
5.0,0.5,8.0,0.13,1.0,0.7413938343292172,78.8
5.0,0.5,8.0,0.14,1.0,0.7917461211526579,81.9
5.0,0.5,8.0,0.15000000000000002,1.0,0.8023699438099163,84.4
5.0,0.5,8.0,0.16000000000000003,1.0,0.8080029066487716,85.8
5.0,0.5,8.0,0.17000000000000004,1.0,0.8099441880009511,86.8
5.0,0.5,8.0,0.18000000000000005,1.0,0.8039669323426247,87.6
5.0,0.5,8.0,0.19,1.0,0.7722564256688068,89.0
5.0,0.5,8.0,0.2,1.0,0.7779917271682961,89.6
5.0,0.5,8.0,0.21000000000000002,1.0,0.7980798754517318,91.3
5.0,0.5,8.0,0.22000000000000003,1.0,0.809134409911451,91.9
5.0,0.5,8.0,0.23000000000000004,1.0,0.8165244787767728,92.6
5.0,0.5,8.0,0.24000000000000005,1.0,0.8258579776754255,92.7
5.0,0.5,8.0,0.25000000000000006,1.0,0.8326749916423051,92.8
5.0,0.5,8.0,0.26000000000000006,1.0,0.8407410173065888,92.9
5.0,0.5,8.0,0.27,1.0,0.845285951679457,93.4
5.0,0.5,8.0,0.28,1.0,0.8511899331757672,93.5
5.0,0.5,8.0,0.29000000000000004,1.0,0.8567253952371731,93.6
5.0,0.5,8.0,0.30000000000000004,1.0,0.8603308045195753,94.2
5.0,0.5,8.0,0.31000000000000005,1.0,0.8653319044476733,94.3
5.0,0.5,8.0,0.32000000000000006,1.0,0.8698856131874079,94.7
5.0,0.5,8.0,0.33,1.0,0.8731222335973697,94.8
5.0,0.5,8.0,0.34,1.0,0.8781737298305604,94.7
5.0,0.5,8.0,0.35000000000000003,1.0,0.8821459173105157,94.9
5.0,0.5,8.0,0.36000000000000004,1.0,0.8848230045743446,95.1
5.0,0.5,8.0,0.37000000000000005,1.0,0.8887783387707848,95.0
5.0,0.5,8.0,0.38000000000000006,1.0,0.8913811109351361,95.1
5.0,0.5,8.0,0.39000000000000007,1.0,0.8942340708401122,95.3
5.0,0.5,8.0,0.4000000000000001,1.0,0.8966364965683573,95.5
5.0,0.5,8.0,0.4100000000000001,1.0,0.8992137845956656,95.5
5.0,0.5,8.0,0.42000000000000004,1.0,0.9021454222124264,95.2
5.0,0.5,8.0,0.43000000000000005,1.0,0.9053630301463613,95.3
5.0,0.5,8.0,0.44000000000000006,1.0,0.9068880316954552,95.8
5.0,0.5,8.0,0.45000000000000007,1.0,0.9082467339902257,95.8
5.0,0.5,8.0,0.4600000000000001,1.0,0.9099712084517231,95.7
5.0,0.5,8.0,0.4700000000000001,1.0,0.9134885746011246,95.9
5.0,0.5,8.0,0.4800000000000001,1.0,0.9153137386302148,96.6
5.0,0.5,8.0,0.49000000000000005,1.0,0.9177358753407997,96.2
5.0,0.5,8.0,0.5000000000000001,1.0,0.9204653735513524,97.1
5.0,0.5,10.0,0.05,1.0,0.47545314470010247,86.0
5.0,0.5,10.0,0.060000000000000005,1.0,0.5461216821742086,96.6
5.0,0.5,10.0,0.07,1.0,0.5795551185287829,103.3
5.0,0.5,10.0,0.08000000000000002,1.0,0.6402070629147929,108.2
5.0,0.5,10.0,0.09000000000000001,1.0,0.5719159025956917,110.3
5.0,0.5,10.0,0.1,1.0,0.580157345217329,113.2
5.0,0.5,10.0,0.11000000000000001,1.0,0.6111815894522442,114.8
5.0,0.5,10.0,0.12000000000000001,1.0,0.6729837681931194,115.0
5.0,0.5,10.0,0.13,1.0,0.7248131486820399,117.1
5.0,0.5,10.0,0.14,1.0,0.7360000908916823,119.0
5.0,0.5,10.0,0.15000000000000002,1.0,0.7856403897940307,119.0
5.0,0.5,10.0,0.16000000000000003,1.0,0.7987938932474675,119.0
5.0,0.5,10.0,0.17000000000000004,1.0,0.7617671626007076,119.6
5.0,0.5,10.0,0.18000000000000005,1.0,0.7669083059679949,120.5
5.0,0.5,10.0,0.19,1.0,0.7778956843994805,120.6
5.0,0.5,10.0,0.2,1.0,0.7890474736795056,121.0
5.0,0.5,10.0,0.21000000000000002,1.0,0.8006390210499301,121.2
5.0,0.5,10.0,0.22000000000000003,1.0,0.816475288668158,122.1
5.0,0.5,10.0,0.23000000000000004,1.0,0.8280401799688315,122.7
5.0,0.5,10.0,0.24000000000000005,1.0,0.8368631425411328,123.0
5.0,0.5,10.0,0.25000000000000006,1.0,0.8437063232380797,123.3
5.0,0.5,10.0,0.26000000000000006,1.0,0.8496038122020219,123.8
