front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
5.0,1.0,5.0,0.05,1.0,0.3182250711953093,36.2
5.0,1.0,5.0,0.060000000000000005,1.0,0.2418141631490871,57.9
5.0,1.0,5.0,0.07,1.0,0.2130708041998468,78.3
5.0,1.0,5.0,0.08000000000000002,1.0,0.2628922017396612,87.9
5.0,1.0,5.0,0.09000000000000001,1.0,0.36875307537225466,94.4
5.0,1.0,5.0,0.1,1.0,0.38503672479581097,97.4
5.0,1.0,5.0,0.11000000000000001,1.0,0.45069204367378746,101.7
5.0,1.0,5.0,0.12000000000000001,1.0,0.5155876301624668,102.5
5.0,1.0,5.0,0.13,1.0,0.5672230070817711,106.6
5.0,1.0,5.0,0.14,1.0,0.5597622471187178,108.0
5.0,1.0,5.0,0.15000000000000002,1.0,0.5764458098998658,108.0
5.0,1.0,5.0,0.16000000000000003,1.0,0.5945432374336693,108.6
5.0,1.0,5.0,0.17000000000000004,1.0,0.6236376366468137,109.7
5.0,1.0,5.0,0.18000000000000005,1.0,0.6539294145449335,111.6
5.0,1.0,5.0,0.19,1.0,0.6469432994397339,112.0
5.0,1.0,5.0,0.2,1.0,0.6731572694516367,112.0
5.0,1.0,5.0,0.21000000000000002,1.0,0.6781162907416032,112.0
5.0,1.0,5.0,0.22000000000000003,1.0,0.6916101055032824,112.3
5.0,1.0,5.0,0.23000000000000004,1.0,0.6992418973392069,112.7
5.0,1.0,5.0,0.24000000000000005,1.0,0.7047886813957338,113.1
5.0,1.0,5.0,0.25000000000000006,1.0,0.71552062017141,113.2
5.0,1.0,5.0,0.26000000000000006,1.0,0.7304876120653161,113.8
5.0,1.0,5.0,0.27,1.0,0.7402835971238558,114.0
5.0,1.0,5.0,0.28,1.0,0.7433281008662166,114.3
5.0,1.0,5.0,0.29000000000000004,1.0,0.7539859527102954,114.9
5.0,1.0,5.0,0.30000000000000004,1.0,0.7578400840585163,115.3
5.0,1.0,5.0,0.31000000000000005,1.0,0.7651511644400376,115.6
5.0,1.0,5.0,0.32000000000000006,1.0,0.7732454795180432,115.9
5.0,1.0,5.0,0.33,1.0,0.7826622428382997,116.0
5.0,1.0,5.0,0.34,1.0,0.7956231169900108,116.0
5.0,1.0,5.0,0.35000000000000003,1.0,0.7987924649631846,116.0
5.0,1.0,5.0,0.36000000000000004,1.0,0.797963818073164,116.0
5.0,1.0,5.0,0.37000000000000005,1.0,0.8091567403413675,116.0
5.0,1.0,5.0,0.38000000000000006,1.0,0.8104414492221123,116.1
5.0,1.0,5.0,0.39000000000000007,1.0,0.8147382237932799,116.0
5.0,1.0,5.0,0.4000000000000001,1.0,0.8179929544969136,116.3
5.0,1.0,5.0,0.4100000000000001,1.0,0.8235924001790392,116.2
5.0,1.0,5.0,0.42000000000000004,1.0,0.8306350069319718,116.6
5.0,1.0,5.0,0.43000000000000005,1.0,0.8333791850251302,116.5
5.0,1.0,5.0,0.44000000000000006,1.0,0.8396298106712464,116.6
5.0,1.0,5.0,0.45000000000000007,1.0,0.8430575863724545,116.6
5.0,1.0,5.0,0.4600000000000001,1.0,0.8472171831834864,116.9
5.0,1.0,5.0,0.4700000000000001,1.0,0.8513810316721127,117.0
5.0,1.0,5.0,0.4800000000000001,1.0,0.8560955833620059,117.3
5.0,1.0,5.0,0.49000000000000005,1.0,0.8586605824907663,117.7
5.0,1.0,5.0,0.5000000000000001,1.0,0.861449662324052,117.7
5.0,1.0,8.0,0.05,1.0,0.36933852129428824,150.6
5.0,1.0,8.0,0.060000000000000005,1.0,0.3333800526673282,169.6
5.0,1.0,8.0,0.07,1.0,0.5047669721899007,182.5
5.0,1.0,8.0,0.08000000000000002,1.0,0.5054884683458962,188.7
5.0,1.0,8.0,0.09000000000000001,1.0,0.5506023351208503,193.1
5.0,1.0,8.0,0.1,1.0,0.571602292350627,197.0
5.0,1.0,8.0,0.11000000000000001,1.0,0.5958342404240156,199.6
5.0,1.0,8.0,0.12000000000000001,1.0,0.6232220416369731,201.8
5.0,1.0,8.0,0.13,1.0,0.6127092749055191,202.8
5.0,1.0,8.0,0.14,1.0,0.6384004507056517,203.0
5.0,1.0,8.0,0.15000000000000002,1.0,0.669289054201238,203.2
5.0,1.0,8.0,0.16000000000000003,1.0,0.7055628808970235,206.7
5.0,1.0,8.0,0.17000000000000004,1.0,0.7347402452643081,207.1
5.0,1.0,8.0,0.18000000000000005,1.0,0.7496139946514191,208.0
5.0,1.0,8.0,0.19,1.0,0.7506040983455263,208.3
5.0,1.0,8.0,0.2,1.0,0.7368585180755958,208.6
5.0,1.0,8.0,0.21000000000000002,1.0,0.7483105625797066,209.0
5.0,1.0,8.0,0.22000000000000003,1.0,0.7642250684238596,209.0
5.0,1.0,8.0,0.23000000000000004,1.0,0.7730856493295043,209.0
5.0,1.0,8.0,0.24000000000000005,1.0,0.7762781659564288,209.0
5.0,1.0,8.0,0.25000000000000006,1.0,0.7756118788566787,209.0
5.0,1.0,8.0,0.26000000000000006,1.0,0.786549330328103,209.0
5.0,1.0,8.0,0.27,1.0,0.7875396278938975,209.5
5.0,1.0,8.0,0.28,1.0,0.7947255559674229,210.5
5.0,1.0,8.0,0.29000000000000004,1.0,0.8102158180704226,211.5
5.0,1.0,8.0,0.30000000000000004,1.0,0.8165716780036265,212.1
5.0,1.0,8.0,0.31000000000000005,1.0,0.8136227082045643,212.6
5.0,1.0,8.0,0.32000000000000006,1.0,0.827866799914019,213.3
5.0,1.0,8.0,0.33,1.0,0.8314173861842095,213.7
5.0,1.0,8.0,0.34,1.0,0.8331451931954963,214.2
5.0,1.0,8.0,0.35000000000000003,1.0,0.8399928932303624,215.5
5.0,1.0,8.0,0.36000000000000004,1.0,0.8437031587720609,215.8
5.0,1.0,8.0,0.37000000000000005,1.0,0.8459930438536544,216.2
5.0,1.0,8.0,0.38000000000000006,1.0,0.8493002055088498,216.7
5.0,1.0,8.0,0.39000000000000007,1.0,0.8527590239388709,217.4
5.0,1.0,8.0,0.4000000000000001,1.0,0.8559559382127171,217.5
5.0,1.0,8.0,0.4100000000000001,1.0,0.8592691537343807,218.5
5.0,1.0,8.0,0.42000000000000004,1.0,0.8636332595324377,218.5
5.0,1.0,8.0,0.43000000000000005,1.0,0.8686076814176067,219.1
5.0,1.0,8.0,0.44000000000000006,1.0,0.8714010024591152,219.1
5.0,1.0,8.0,0.45000000000000007,1.0,0.8751363099680626,219.3
5.0,1.0,8.0,0.4600000000000001,1.0,0.8760387711250344,219.7
5.0,1.0,8.0,0.4700000000000001,1.0,0.8786848425970387,219.8
5.0,1.0,8.0,0.4800000000000001,1.0,0.8790729993179702,219.5
5.0,1.0,8.0,0.49000000000000005,1.0,0.8807928249407124,219.6
5.0,1.0,8.0,0.5000000000000001,1.0,0.8801313296455202,220.7
5.0,1.0,10.0,0.05,1.0,0.36873527551304935,218.3
5.0,1.0,10.0,0.060000000000000005,1.0,0.3777109962250504,243.2
5.0,1.0,10.0,0.07,1.0,0.45620855505064456,252.5
5.0,1.0,10.0,0.08000000000000002,1.0,0.5712080086089124,257.9
5.0,1.0,10.0,0.09000000000000001,1.0,0.5875472775596572,264.0
5.0,1.0,10.0,0.1,1.0,0.6266196237712959,265.5
5.0,1.0,10.0,0.11000000000000001,1.0,0.622828435677276,266.1
5.0,1.0,10.0,0.12000000000000001,1.0,0.6607731382356545,271.8
5.0,1.0,10.0,0.13,1.0,0.6729828913131309,274.7
5.0,1.0,10.0,0.14,1.0,0.6872603016281098,278.6
5.0,1.0,10.0,0.15000000000000002,1.0,0.7116208445071407,280.7
5.0,1.0,10.0,0.16000000000000003,1.0,0.7308004965515561,281.5
5.0,1.0,10.0,0.17000000000000004,1.0,0.7571178678815161,281.9
5.0,1.0,10.0,0.18000000000000005,1.0,0.7501242614054318,283.6
5.0,1.0,10.0,0.19,1.0,0.7582414193364706,286.1
5.0,1.0,10.0,0.2,1.0,0.7742634906243786,286.3
5.0,1.0,10.0,0.21000000000000002,1.0,0.7810890829926415,286.6
5.0,1.0,10.0,0.22000000000000003,1.0,0.7856986373792709,287.4
5.0,1.0,10.0,0.23000000000000004,1.0,0.7940778983611414,287.5
5.0,1.0,10.0,0.24000000000000005,1.0,0.7949742403886881,287.9
5.0,1.0,10.0,0.25000000000000006,1.0,0.7972031825715552,288.5
5.0,1.0,10.0,0.26000000000000006,1.0,0.797532731117142,289.5
5.0,1.0,10.0,0.27,1.0,0.801718903908079,289.9
5.0,1.0,10.0,0.28,1.0,0.800899127346861,290.4
5.0,1.0,10.0,0.29000000000000004,1.0,0.8181714396250805,290.8
5.0,1.0,10.0,0.30000000000000004,1.0,0.8233361725522487,291.0
5.0,1.0,10.0,0.31000000000000005,1.0,0.8339690323022196,290.9
5.0,1.0,10.0,0.32000000000000006,1.0,0.8366958330054992,291.3
5.0,1.0,10.0,0.33,1.0,0.8416820761936095,291.3
5.0,1.0,10.0,0.34,1.0,0.8412074802421605,291.5
5.0,1.0,10.0,0.35000000000000003,1.0,0.8436835578946784,292.0
5.0,1.0,10.0,0.36000000000000004,1.0,0.8465714379097854,291.8
5.0,1.0,10.0,0.37000000000000005,1.0,0.8504068537848719,291.7
5.0,1.0,10.0,0.38000000000000006,1.0,0.854391907368614,292.4
5.0,1.0,10.0,0.39000000000000007,1.0,0.8585326607518627,292.4
5.0,1.0,10.0,0.4000000000000001,1.0,0.8623290634942963,292.6
5.0,1.0,10.0,0.4100000000000001,1.0,0.8657577077134482,292.5
5.0,1.0,10.0,0.42000000000000004,1.0,0.8723385309305902,292.4
5.0,1.0,10.0,0.43000000000000005,1.0,0.8691918642789863,292.9
5.0,1.0,10.0,0.44000000000000006,1.0,0.8787033663125395,292.6
5.0,1.0,10.0,0.45000000000000007,1.0,0.8759967715634088,292.6
5.0,1.0,10.0,0.4600000000000001,1.0,0.8814810462821356,292.6
5.0,1.0,10.0,0.4700000000000001,1.0,0.8868086791368934,292.7
5.0,1.0,10.0,0.4800000000000001,1.0,0.8896966069592329,292.9
5.0,1.0,10.0,0.49000000000000005,1.0,0.8926201814782729,292.9
5.0,1.0,10.0,0.5000000000000001,1.0,0.8944824673908276,293.1
