front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
5.0,1.5,5.0,0.05,1.0,0.14632104580229197,53.3
5.0,1.5,5.0,0.060000000000000005,1.0,0.24492897821793447,87.9
5.0,1.5,5.0,0.07,1.0,0.24952349350550382,108.3
5.0,1.5,5.0,0.08000000000000002,1.0,0.26409298532910996,129.1
5.0,1.5,5.0,0.09000000000000001,1.0,0.3459150466633921,145.3
5.0,1.5,5.0,0.1,1.0,0.32019543488197366,158.5
5.0,1.5,5.0,0.11000000000000001,1.0,0.35759112485745914,164.9
5.0,1.5,5.0,0.12000000000000001,1.0,0.38784972235584964,172.1
5.0,1.5,5.0,0.13,1.0,0.515061631315272,176.1
5.0,1.5,5.0,0.14,1.0,0.5327955778512484,178.1
5.0,1.5,5.0,0.15000000000000002,1.0,0.5235305431401743,180.7
5.0,1.5,5.0,0.16000000000000003,1.0,0.547743654885769,183.7
5.0,1.5,5.0,0.17000000000000004,1.0,0.5837063184957454,186.0
5.0,1.5,5.0,0.18000000000000005,1.0,0.6326675627259123,188.2
5.0,1.5,5.0,0.19,1.0,0.6398545114576346,188.8
5.0,1.5,5.0,0.2,1.0,0.6327160816828729,189.2
5.0,1.5,5.0,0.21000000000000002,1.0,0.6395323046226004,189.3
5.0,1.5,5.0,0.22000000000000003,1.0,0.6797413982379761,189.6
5.0,1.5,5.0,0.23000000000000004,1.0,0.6787730830771591,190.4
5.0,1.5,5.0,0.24000000000000005,1.0,0.6877257043162676,191.6
5.0,1.5,5.0,0.25000000000000006,1.0,0.7048895684908356,192.8
5.0,1.5,5.0,0.26000000000000006,1.0,0.7067722416682906,192.9
5.0,1.5,5.0,0.27,1.0,0.7138546976550231,193.5
5.0,1.5,5.0,0.28,1.0,0.7043999083554826,194.0
5.0,1.5,5.0,0.29000000000000004,1.0,0.7251322428642692,196.2
5.0,1.5,5.0,0.30000000000000004,1.0,0.7306952893651365,196.6
5.0,1.5,5.0,0.31000000000000005,1.0,0.7362353888968984,197.4
5.0,1.5,5.0,0.32000000000000006,1.0,0.7462090668711596,197.6
5.0,1.5,5.0,0.33,1.0,0.7510790880348333,197.4
5.0,1.5,5.0,0.34,1.0,0.7598209706656164,198.1
5.0,1.5,5.0,0.35000000000000003,1.0,0.7486604360798053,197.7
5.0,1.5,5.0,0.36000000000000004,1.0,0.7568037719369851,198.2
5.0,1.5,5.0,0.37000000000000005,1.0,0.7592243349030398,198.6
5.0,1.5,5.0,0.38000000000000006,1.0,0.7670887586246384,198.2
5.0,1.5,5.0,0.39000000000000007,1.0,0.7724146848646025,198.5
5.0,1.5,5.0,0.4000000000000001,1.0,0.762361151068716,198.7
5.0,1.5,5.0,0.4100000000000001,1.0,0.7727672028319736,198.9
5.0,1.5,5.0,0.42000000000000004,1.0,0.7778706382946983,198.8
5.0,1.5,5.0,0.43000000000000005,1.0,0.7809285588199781,198.9
5.0,1.5,5.0,0.44000000000000006,1.0,0.7833555392567018,199.0
5.0,1.5,5.0,0.45000000000000007,1.0,0.8009318652421774,199.0
5.0,1.5,5.0,0.4600000000000001,1.0,0.7970158050873474,199.0
5.0,1.5,5.0,0.4700000000000001,1.0,0.8009179685135124,199.0
5.0,1.5,5.0,0.4800000000000001,1.0,0.8033352270183048,199.0
5.0,1.5,5.0,0.49000000000000005,1.0,0.8072983087840685,199.0
5.0,1.5,5.0,0.5000000000000001,1.0,0.8051941167205824,199.1
5.0,1.5,8.0,0.05,1.0,0.3559976071630725,207.0
5.0,1.5,8.0,0.060000000000000005,1.0,0.4602897037758347,250.9
5.0,1.5,8.0,0.07,1.0,0.44927407352660625,274.0
5.0,1.5,8.0,0.08000000000000002,1.0,0.4037862679177941,300.2
5.0,1.5,8.0,0.09000000000000001,1.0,0.47807758209057305,314.5
5.0,1.5,8.0,0.1,1.0,0.4237446187010212,320.0
5.0,1.5,8.0,0.11000000000000001,1.0,0.5002226224294408,328.0
5.0,1.5,8.0,0.12000000000000001,1.0,0.5778067426007205,331.0
5.0,1.5,8.0,0.13,1.0,0.6060419739899355,335.4
5.0,1.5,8.0,0.14,1.0,0.6217682641087944,337.0
5.0,1.5,8.0,0.15000000000000002,1.0,0.6598921925634647,339.1
5.0,1.5,8.0,0.16000000000000003,1.0,0.6803015461320964,341.1
5.0,1.5,8.0,0.17000000000000004,1.0,0.6769824588261021,342.9
5.0,1.5,8.0,0.18000000000000005,1.0,0.7316749947832646,345.3
5.0,1.5,8.0,0.19,1.0,0.7204036472827529,346.1
5.0,1.5,8.0,0.2,1.0,0.7273325243309359,346.5
5.0,1.5,8.0,0.21000000000000002,1.0,0.7311660518413781,346.7
5.0,1.5,8.0,0.22000000000000003,1.0,0.7335523782771788,346.9
5.0,1.5,8.0,0.23000000000000004,1.0,0.7478716706009149,347.2
5.0,1.5,8.0,0.24000000000000005,1.0,0.7402952859208745,347.6
5.0,1.5,8.0,0.25000000000000006,1.0,0.755097743053623,348.4
5.0,1.5,8.0,0.26000000000000006,1.0,0.7603868174668099,349.3
5.0,1.5,8.0,0.27,1.0,0.7653060830347974,350.0
5.0,1.5,8.0,0.28,1.0,0.7648221252038345,350.6
5.0,1.5,8.0,0.29000000000000004,1.0,0.7767549335057867,351.2
5.0,1.5,8.0,0.30000000000000004,1.0,0.7875917989589172,351.2
5.0,1.5,8.0,0.31000000000000005,1.0,0.7939997158987799,351.3
5.0,1.5,8.0,0.32000000000000006,1.0,0.7724756612958469,351.7
5.0,1.5,8.0,0.33,1.0,0.7889514769669158,352.3
5.0,1.5,8.0,0.34,1.0,0.7969071242027705,353.0
5.0,1.5,8.0,0.35000000000000003,1.0,0.8051519344122362,352.5
5.0,1.5,8.0,0.36000000000000004,1.0,0.8136667721735191,354.0
5.0,1.5,8.0,0.37000000000000005,1.0,0.8162162004139029,354.3
5.0,1.5,8.0,0.38000000000000006,1.0,0.8193868794626701,354.2
5.0,1.5,8.0,0.39000000000000007,1.0,0.8215030489054913,354.6
5.0,1.5,8.0,0.4000000000000001,1.0,0.8259454493614149,354.7
5.0,1.5,8.0,0.4100000000000001,1.0,0.8211162681551041,354.8
5.0,1.5,8.0,0.42000000000000004,1.0,0.8207764098807188,354.6
5.0,1.5,8.0,0.43000000000000005,1.0,0.8296915301622381,354.9
5.0,1.5,8.0,0.44000000000000006,1.0,0.8284753360439611,355.0
5.0,1.5,8.0,0.45000000000000007,1.0,0.8295372830111477,354.8
5.0,1.5,8.0,0.4600000000000001,1.0,0.829686200590103,355.0
5.0,1.5,8.0,0.4700000000000001,1.0,0.8330524945346195,354.9
5.0,1.5,8.0,0.4800000000000001,1.0,0.8392566573286755,355.0
5.0,1.5,8.0,0.49000000000000005,1.0,0.8395965757249091,355.0
5.0,1.5,8.0,0.5000000000000001,1.0,0.8375266639428496,355.0
5.0,1.5,10.0,0.05,1.0,0.45833303464564984,301.0
5.0,1.5,10.0,0.060000000000000005,1.0,0.5310815146889679,346.0
5.0,1.5,10.0,0.07,1.0,0.4867884971313224,369.8
5.0,1.5,10.0,0.08000000000000002,1.0,0.5645980448889714,397.2
5.0,1.5,10.0,0.09000000000000001,1.0,0.481800117237334,409.5
5.0,1.5,10.0,0.1,1.0,0.560737795661011,419.8
5.0,1.5,10.0,0.11000000000000001,1.0,0.568334092961026,420.8
5.0,1.5,10.0,0.12000000000000001,1.0,0.607151008856728,426.5
5.0,1.5,10.0,0.13,1.0,0.6589857324582926,432.0
5.0,1.5,10.0,0.14,1.0,0.6902059929554776,433.2
5.0,1.5,10.0,0.15000000000000002,1.0,0.7065689516477578,434.0
5.0,1.5,10.0,0.16000000000000003,1.0,0.6851717212204191,434.1
5.0,1.5,10.0,0.17000000000000004,1.0,0.7295058813417702,435.1
5.0,1.5,10.0,0.18000000000000005,1.0,0.7265187847374441,436.6
5.0,1.5,10.0,0.19,1.0,0.7248942952225071,437.5
5.0,1.5,10.0,0.2,1.0,0.7329242043214517,437.7
5.0,1.5,10.0,0.21000000000000002,1.0,0.7346685454977512,437.8
5.0,1.5,10.0,0.22000000000000003,1.0,0.7451046875950118,438.0
5.0,1.5,10.0,0.23000000000000004,1.0,0.7536391926644266,438.2
5.0,1.5,10.0,0.24000000000000005,1.0,0.7510432046122547,438.3
5.0,1.5,10.0,0.25000000000000006,1.0,0.7484642349066031,439.3
5.0,1.5,10.0,0.26000000000000006,1.0,0.754756968558635,439.3
5.0,1.5,10.0,0.27,1.0,0.7639245343556678,439.7
5.0,1.5,10.0,0.28,1.0,0.7578738039996706,439.9
5.0,1.5,10.0,0.29000000000000004,1.0,0.7694852274295282,440.3
5.0,1.5,10.0,0.30000000000000004,1.0,0.7808543449809167,440.4
5.0,1.5,10.0,0.31000000000000005,1.0,0.7804262173298989,441.1
5.0,1.5,10.0,0.32000000000000006,1.0,0.7899122050429295,441.5
5.0,1.5,10.0,0.33,1.0,0.7934221081980383,441.3
5.0,1.5,10.0,0.34,1.0,0.8044212421484795,442.2
5.0,1.5,10.0,0.35000000000000003,1.0,0.8005928153554842,443.3
5.0,1.5,10.0,0.36000000000000004,1.0,0.8157053657713768,443.0
5.0,1.5,10.0,0.37000000000000005,1.0,0.8150494171543515,444.0
5.0,1.5,10.0,0.38000000000000006,1.0,0.8085250584916375,444.1
5.0,1.5,10.0,0.39000000000000007,1.0,0.8115333365773509,445.1
5.0,1.5,10.0,0.4000000000000001,1.0,0.821091007274463,444.6
5.0,1.5,10.0,0.4100000000000001,1.0,0.8137464411980153,446.0
5.0,1.5,10.0,0.42000000000000004,1.0,0.8240255449584426,445.7
5.0,1.5,10.0,0.43000000000000005,1.0,0.8231125361580398,447.0
5.0,1.5,10.0,0.44000000000000006,1.0,0.8243555990884059,446.5
5.0,1.5,10.0,0.45000000000000007,1.0,0.8247917418547488,447.1
5.0,1.5,10.0,0.4600000000000001,1.0,0.8296071673933003,447.7
5.0,1.5,10.0,0.4700000000000001,1.0,0.8380564418080322,448.0
5.0,1.5,10.0,0.4800000000000001,1.0,0.8402878224462992,447.6
5.0,1.5,10.0,0.49000000000000005,1.0,0.8372474879530124,448.3
5.0,1.5,10.0,0.5000000000000001,1.0,0.8434495545285717,448.0
