front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points
10.0,1.0,5.0,0.05,1.0,0.30824069089121003,10.6
10.0,1.0,5.0,0.060000000000000005,1.0,0.3771608535274448,11.0
10.0,1.0,5.0,0.07,1.0,0.4259872814151566,11.0
10.0,1.0,5.0,0.08000000000000002,1.0,0.4735777656757959,11.0
10.0,1.0,5.0,0.09000000000000001,1.0,0.5149338030652,11.0
10.0,1.0,5.0,0.1,1.0,0.580585726831226,11.0
10.0,1.0,5.0,0.11000000000000001,1.0,0.589187371888366,11.0
10.0,1.0,5.0,0.12000000000000001,1.0,0.6146374717863108,11.0
10.0,1.0,5.0,0.13,1.0,0.6413727300711176,11.0
10.0,1.0,5.0,0.14,1.0,0.6548697077144767,11.0
10.0,1.0,5.0,0.15000000000000002,1.0,0.6676012785343504,11.0
10.0,1.0,5.0,0.16000000000000003,1.0,0.7104127250787791,11.0
10.0,1.0,5.0,0.17000000000000004,1.0,0.69766082073282,11.0
10.0,1.0,5.0,0.18000000000000005,1.0,0.7096608133238739,11.0
10.0,1.0,5.0,0.19,1.0,0.7238733936430382,11.0
10.0,1.0,5.0,0.2,1.0,0.7241550323122967,11.0
10.0,1.0,5.0,0.21000000000000002,1.0,0.7429688866478631,11.0
10.0,1.0,5.0,0.22000000000000003,1.0,0.7371669797369448,11.0
10.0,1.0,5.0,0.23000000000000004,1.0,0.7761058729676219,11.0
10.0,1.0,5.0,0.24000000000000005,1.0,0.7675279574924577,11.0
10.0,1.0,5.0,0.25000000000000006,1.0,0.7732393154138943,11.0
10.0,1.0,5.0,0.26000000000000006,1.0,0.7543335306049462,11.0
10.0,1.0,5.0,0.27,1.0,0.8183133078724045,11.0
10.0,1.0,5.0,0.28,1.0,0.7942878401238962,11.0
10.0,1.0,5.0,0.29000000000000004,1.0,0.7913542405400363,11.0
10.0,1.0,5.0,0.30000000000000004,1.0,0.7989403432898315,11.0
10.0,1.0,5.0,0.31000000000000005,1.0,0.8185725465950261,11.0
10.0,1.0,5.0,0.32000000000000006,1.0,0.8346670317576944,11.0
10.0,1.0,5.0,0.33,1.0,0.8274564406980748,11.0
10.0,1.0,5.0,0.34,1.0,0.8461885102284384,11.0
10.0,1.0,5.0,0.35000000000000003,1.0,0.8325614371452581,11.0
10.0,1.0,5.0,0.36000000000000004,1.0,0.8443751120908585,11.0
10.0,1.0,5.0,0.37000000000000005,1.0,0.814688579861422,11.0
10.0,1.0,5.0,0.38000000000000006,1.0,0.8490529664483448,11.0
10.0,1.0,5.0,0.39000000000000007,1.0,0.8189095392666431,11.0
10.0,1.0,5.0,0.4000000000000001,1.0,0.848922736707389,11.0
10.0,1.0,5.0,0.4100000000000001,1.0,0.8473588324388791,11.0
10.0,1.0,5.0,0.42000000000000004,1.0,0.8429672948544272,11.0
10.0,1.0,5.0,0.43000000000000005,1.0,0.8539459949831658,11.0
10.0,1.0,5.0,0.44000000000000006,1.0,0.8304545543047537,11.0
10.0,1.0,5.0,0.45000000000000007,1.0,0.8403217574622326,11.0
10.0,1.0,5.0,0.4600000000000001,1.0,0.8734259786153101,11.0
10.0,1.0,5.0,0.4700000000000001,1.0,0.8681350933393961,11.0
10.0,1.0,5.0,0.4800000000000001,1.0,0.8875360194627616,11.0
10.0,1.0,5.0,0.49000000000000005,1.0,0.8811800023124153,11.0
10.0,1.0,5.0,0.5000000000000001,1.0,0.8469251266896322,11.0
10.0,1.0,8.0,0.05,1.0,0.4694385185927237,25.7
10.0,1.0,8.0,0.060000000000000005,1.0,0.5305472531464797,34.0
10.0,1.0,8.0,0.07,1.0,0.5815755602242112,38.3
10.0,1.0,8.0,0.08000000000000002,1.0,0.6213601761296165,40.0
10.0,1.0,8.0,0.09000000000000001,1.0,0.6542277853830577,41.9
10.0,1.0,8.0,0.1,1.0,0.6817845033006985,42.0
10.0,1.0,8.0,0.11000000000000001,1.0,0.7063456511861265,42.8
10.0,1.0,8.0,0.12000000000000001,1.0,0.5952206427672497,44.0
10.0,1.0,8.0,0.13,1.0,0.5857653452840909,44.0
10.0,1.0,8.0,0.14,1.0,0.6035880509663822,44.0
10.0,1.0,8.0,0.15000000000000002,1.0,0.6188860554531967,44.0
10.0,1.0,8.0,0.16000000000000003,1.0,0.6270122708452817,44.4
10.0,1.0,8.0,0.17000000000000004,1.0,0.6497959177960345,45.3
10.0,1.0,8.0,0.18000000000000005,1.0,0.6599976281398952,45.7
10.0,1.0,8.0,0.19,1.0,0.678804466711938,46.0
10.0,1.0,8.0,0.2,1.0,0.6883314260695962,46.0
10.0,1.0,8.0,0.21000000000000002,1.0,0.7098114640015329,46.0
10.0,1.0,8.0,0.22000000000000003,1.0,0.720614397133483,46.0
10.0,1.0,8.0,0.23000000000000004,1.0,0.7366719536049686,46.0
10.0,1.0,8.0,0.24000000000000005,1.0,0.7483393650189061,46.0
10.0,1.0,8.0,0.25000000000000006,1.0,0.7554271074428918,46.0
10.0,1.0,8.0,0.26000000000000006,1.0,0.7637353740694786,46.0
10.0,1.0,8.0,0.27,1.0,0.7742642132755313,46.0
10.0,1.0,8.0,0.28,1.0,0.7811966118260469,46.0
10.0,1.0,8.0,0.29000000000000004,1.0,0.7913216006893083,46.0
10.0,1.0,8.0,0.30000000000000004,1.0,0.7968902270635227,46.0
10.0,1.0,8.0,0.31000000000000005,1.0,0.8036214665961599,46.0
10.0,1.0,8.0,0.32000000000000006,1.0,0.8078129465679312,46.0
10.0,1.0,8.0,0.33,1.0,0.8154026041765599,46.1
10.0,1.0,8.0,0.34,1.0,0.8208371852520431,46.1
10.0,1.0,8.0,0.35000000000000003,1.0,0.8252001837183253,46.2
10.0,1.0,8.0,0.36000000000000004,1.0,0.8305115020725269,46.3
10.0,1.0,8.0,0.37000000000000005,1.0,0.841330257281321,46.9
10.0,1.0,8.0,0.38000000000000006,1.0,0.8411017298170045,46.4
10.0,1.0,8.0,0.39000000000000007,1.0,0.8487455135613734,46.8
10.0,1.0,8.0,0.4000000000000001,1.0,0.8527273966988412,47.2
10.0,1.0,8.0,0.4100000000000001,1.0,0.859286559279371,47.5
10.0,1.0,8.0,0.42000000000000004,1.0,0.860800137323438,47.3
10.0,1.0,8.0,0.43000000000000005,1.0,0.8677266872837996,47.5
10.0,1.0,8.0,0.44000000000000006,1.0,0.8688540824944194,47.5
10.0,1.0,8.0,0.45000000000000007,1.0,0.8724826678544686,47.6
10.0,1.0,8.0,0.4600000000000001,1.0,0.8771303372841347,47.7
10.0,1.0,8.0,0.4700000000000001,1.0,0.880781035459241,48.0
10.0,1.0,8.0,0.4800000000000001,1.0,0.8837786785589833,47.7
10.0,1.0,8.0,0.49000000000000005,1.0,0.8840268190520625,48.0
10.0,1.0,8.0,0.5000000000000001,1.0,0.8876851260086746,47.9
10.0,1.0,10.0,0.05,1.0,0.5176641892196608,46.1
10.0,1.0,10.0,0.060000000000000005,1.0,0.5743626893619009,50.0
