distance_m,synthterrain_height_m,estimated_q10_m,estimated_q50_m,estimated_q90_m
-3.75,0.02267791257354497,0.01743328581683758,0.01835171800094757,0.018992825452183327
-3.7,0.023884479094323584,0.017691304590862815,0.01873745401129006,0.019463672559226652
-3.65,0.02503641474112333,0.017949323364888053,0.019123190021632548,0.01993451966626998
-3.5999999999999996,0.026157837803573253,0.018081006624713163,0.019400720437030824,0.020308526796552217
-3.55,0.027191862521444947,0.018086356029068176,0.019570043598754853,0.020585692291343327
-3.5,0.0281669201215454,0.01809170543342319,0.019739368419208914,0.020862859444864473
-3.4499999999999997,0.029017562460413097,0.017778613504856797,0.019633976030399923,0.020892280339452042
-3.3999999999999995,0.029777333261518525,0.017465521576290402,0.01952858530032097,0.020921702892769643
-3.3499999999999996,0.03037230903462803,0.016959182622740324,0.019255871836937253,0.02079953244968128
-3.3,0.030841986681140136,0.016259598302936593,0.01881583895770885,0.020525770668916987
-3.25,0.031104320887935,0.015560012324402836,0.018375804419750418,0.020252007229422667
-3.2,0.031205610691099363,0.014406657523241015,0.017542438546630384,0.01962096163456444
-3.15,0.03105631383261334,0.013253303551444209,0.016709072673510354,0.01898991603970621
-3.1,0.030710348669308624,0.011841523587399172,0.015651884404716404,0.018155331000012244
-3.05,0.030071559208135965,0.010171316801740889,0.014370877057708599,0.01711720651548254
-3,0.02920222314261242,0.008501110016082605,0.013089868051970762,0.016079083689682867
-2.95,0.02800068066476355,0.006258748771959721,0.011314525980658555,0.014591420144108153
-2.9000000000000004,0.026538183510146106,0.0040163879425193245,0.00953918390934633,0.013103756598533425
-2.8500000000000005,0.024708855450213382,0.0014659658016893987,0.007498706282804144,0.011375203983979724
-2.8000000000000003,0.022593363988888126,-0.0013925170285062557,0.00519309393039704,0.009405763129812096
-2.75,0.020083017258019233,-0.004250999962372537,0.0028874809559661747,0.00743632144627945
-2.7,0.017268123647434436,-0.0077549568506146685,0.00002922151977324545,0.0049656401599993336
-2.6500000000000004,0.01403861529786344,-0.011258914568221817,-0.0028290378840226124,0.0024949586663779626
-2.6,0.010494414012928084,-0.015091590280667116,-0.005966892734635195,-0.000228679131291606
-2.55,0.006525475255639861,-0.0192529856466806,-0.009384343119536594,-0.0032052731034210888
-2.5,0.002241029161316136,-0.02341438267142412,-0.012801793089755485,-0.006181867049632915
-2.45,-0.002467663834921105,-0.02822573315466705,-0.01676759598651924,-0.009652946249899616
-2.4,-0.007482659341581301,-0.03303708197917995,-0.020733397224552964,-0.013124025450166315
-2.3499999999999996,-0.012910296708660347,-0.03815935643083676,-0.024958915776165307,-0.016828338680311732
-2.3,-0.01862479635405511,-0.04359255319217732,-0.029444153300086224,-0.020765885110970776
-2.25,-0.024729242591938993,-0.049025753270977905,-0.033929389165277074,-0.024703431541629788
-2.1999999999999997,-0.03109116470045032,-0.05503188533794597,-0.03888729342308708,-0.029063229265568202
-2.1500000000000004,-0.03780981196380186,-0.06103802072237395,-0.043845197680896966,-0.033423025330776464
-2.1,-0.04474739616973221,-0.0672961835479497,-0.049007716240603814,-0.037964362763128735
-2.0500000000000003,-0.05199903816066572,-0.07380638044959315,-0.05437484246728733,-0.04268724156262486
-2,-0.059423186539144246,-0.0803165773512366,-0.05974197532889098,-0.04741012036212098
-1.9500000000000002,-0.06711081516589591,-0.08724383869734754,-0.06544022387959485,-0.05242400675852994
-1.9,-0.07491828480219202,-0.0941711000434585,-0.07113847906521885,-0.05743789315493891
-1.85,-0.08293264501779839,-0.10125568861569798,-0.07695728411468938,-0.06255613689261655
-1.7999999999999998,-0.09100989850127021,-0.10849759777914587,-0.08289665893276688,-0.06777873465410279
-1.75,-0.09923358261852613,-0.11573950694259379,-0.08883602711592425,-0.07300133241558904
-1.6999999999999997,-0.10746105670551051,-0.12318164472573245,-0.09491788684379893,-0.07834323267593737
-1.65,-0.11577288291063736,-0.13062378250887105,-0.10099974657167354,-0.08368513293628563
-1.5999999999999996,-0.12402940878417665,-0.13810472130493145,-0.1071010134409292,-0.08904011062421069
-1.5500000000000003,-0.13230881268297562,-0.1456244876535939,-0.11322168745156574,-0.09440817237463252
-1.5000000000000002,-0.14047591600356676,-0.15314424073241625,-0.11934234819236209,-0.09977622749013425
-1.4500000000000002,-0.14860708987257465,-0.16061494848163574,-0.12539672608105723,-0.10507687845203278
-1.4000000000000001,-0.15657291514120608,-0.16808565623085525,-0.1314511039697524,-0.11037752941393132
-1.35,-0.16444845600302171,-0.17546845128834893,-0.137420793737905,-0.11559903241359606
-1.3,-0.17211109551253034,-0.18276334692395702,-0.14330579538551508,-0.12074141399070756
-1.25,-0.17963496712918567,-0.19005824255956508,-0.14919079703312513,-0.12588378229797878
-1.2,-0.18690502603969383,-0.19705418196394428,-0.15480838485980553,-0.13078235709998404
-1.15,-0.1939946968103448,-0.20405013463816377,-0.16042597268648595,-0.1356809451718296
-1.0999999999999999,-0.20079698745945723,-0.2108384939313479,-0.1658646034474132,-0.14041862316067624
-1.0499999999999998,-0.20738467046879897,-0.21741924657365644,-0.171124263872747,-0.144995391066524
-0.9999999999999998,-0.2136589951044574,-0.22399999921596497,-0.17638393756792112,-0.14957217224221206
-0.9499999999999997,-0.21969198237075507,-0.23005879596146686,-0.18120453878855564,-0.15375805046350616
-0.9000000000000002,-0.2253930283098683,-0.2361175927069687,-0.18602512673934987,-0.15794394195464048
-0.8500000000000002,-0.2308331731692781,-0.24186770642833075,-0.19059086740794118,-0.1619047238755957
-0.8000000000000002,-0.2359296028302192,-0.24730916366523348,-0.194901734254649,-0.16564039622637167
-0.7500000000000001,-0.24075205781676798,-0.2527505943624557,-0.1992126011013568,-0.1693760685771477
-0.7000000000000001,-0.2452249241629084,-0.2574919613668948,-0.20295404583264612,-0.17261219779131703
-0.65,-0.24941628342695957,-0.26223332837133384,-0.2066955038337757,-0.1758483137356461
-0.6,-0.25325693650407893,-0.26658989654789883,-0.2101278541758771,-0.178814799795722
-0.5499999999999999,-0.2568129599256966,-0.2705616658965897,-0.21325111012879058,-0.18151166924138498
-0.4999999999999999,-0.26002063125590996,-0.27453346178496113,-0.21637436608170407,-0.18420853868704798
-0.44999999999999984,-0.2629437415306052,-0.2776795285932824,-0.21884105687820835,-0.18633544195384177
-0.3999999999999998,-0.2655230003554566,-0.28082556886192317,-0.2213077609445529,-0.18846235849047588
-0.34999999999999976,-0.267819745235626,-0.28353728725883764,-0.22343186427505177,-0.19029299930361365
-0.30000000000000027,-0.26977801525904027,-0.2858146307046648,-0.2252133668697049,-0.19182737766309543
-0.2500000000000002,-0.2714566764750692,-0.2880919741504919,-0.22699489600403855,-0.19336176929241752
-0.20000000000000018,-0.27280198581749726,-0.289470338998031,-0.22807145160469275,-0.19428828280924615
-0.15000000000000013,-0.273870496121589,-0.29084870384557004,-0.22914803374502743,-0.19521480959591506
-0.10000000000000009,-0.27460960894741854,-0.2917686222517892,-0.22986638327768952,-0.19583297183461038
-0.050000000000000044,-0.2750739114943065,-0.2922300411373275,-0.2302265002026791,-0.19614278279517236
0,-0.27521095947833923,-0.29269148656254623,-0.23058661712766865,-0.19645258048589406
0.050000000000000044,-0.2750739114943065,-0.2922300411373275,-0.2302265002026791,-0.19614278279517236
0.10000000000000009,-0.2746096089474185,-0.2917686222517892,-0.22986638327768952,-0.19583297183461038
0.15000000000000013,-0.273870496121589,-0.29084870384557004,-0.22914803374502743,-0.19521480959591506
0.20000000000000018,-0.2728019858174972,-0.289470338998031,-0.22807145160469275,-0.19428828280924615
0.2500000000000002,-0.27145667647506927,-0.2880919741504919,-0.22699489600403855,-0.19336176929241752
0.30000000000000027,-0.2697780152590402,-0.2858146307046648,-0.2252133668697049,-0.19182737766309543
0.3500000000000003,-0.2678197452356261,-0.2835372872588376,-0.22343186427505174,-0.19029299930361365
0.40000000000000036,-0.2655230003554567,-0.28082556886192317,-0.2213077609445529,-0.18846235849047585
0.4500000000000004,-0.2629437415306053,-0.2776795285932823,-0.21884105687820832,-0.18633544195384177
0.5000000000000004,-0.26002063125591,-0.2745334617849611,-0.21637436608170404,-0.18420853868704792
0.5500000000000005,-0.25681295992569675,-0.27056166589658964,-0.21325111012879056,-0.18151166924138495
0.6000000000000005,-0.253256936504079,-0.2665898965478988,-0.21012785417587707,-0.17881479979572198
0.6499999999999995,-0.2494162834269597,-0.2622333283713339,-0.20669550383377575,-0.17584831373564613
0.6999999999999995,-0.24522492416290842,-0.25749196136689484,-0.20295404583264617,-0.17261219779131706
0.7499999999999996,-0.24075205781676806,-0.2527505943624558,-0.19921260110135686,-0.16937606857714774
0.7999999999999996,-0.2359296028302192,-0.24730916366523356,-0.19490173425464902,-0.16564039622637172
0.8499999999999996,-0.23083317316927815,-0.24186770642833083,-0.1905908674079412,-0.16190472387559574
0.8999999999999997,-0.2253930283098683,-0.23611759270696875,-0.1860251267393499,-0.1579439419546405
0.9499999999999997,-0.2196919823707551,-0.23005879596146686,-0.18120453878855564,-0.15375805046350616
0.9999999999999998,-0.21365899510445743,-0.22399999921596497,-0.17638393756792112,-0.14957217224221206
1.0499999999999998,-0.207384670468799,-0.21741924657365644,-0.171124263872747,-0.144995391066524
1.0999999999999999,-0.20079698745945723,-0.2108384939313479,-0.1658646034474132,-0.14041862316067624
1.15,-0.19399469681034487,-0.20405013463816377,-0.16042597268648595,-0.1356809451718296
1.2,-0.18690502603969383,-0.19705418196394428,-0.15480838485980553,-0.13078235709998404
1.25,-0.17963496712918575,-0.19005824255956508,-0.14919079703312513,-0.12588378229797878
1.3,-0.17211109551253034,-0.18276334692395702,-0.14330579538551508,-0.12074141399070756
1.35,-0.16444845600302177,-0.17546845128834893,-0.137420793737905,-0.11559903241359606
1.4000000000000001,-0.15657291514120608,-0.16808565623085525,-0.1314511039697524,-0.11037752941393132
1.4500000000000002,-0.14860708987257468,-0.16061494848163574,-0.12539672608105723,-0.10507687845203278
1.5000000000000002,-0.14047591600356676,-0.15314424073241625,-0.11934234819236209,-0.09977622749013425
1.5500000000000003,-0.13230881268297562,-0.1456244876535939,-0.11322168745156574,-0.09440817237463252
1.6000000000000003,-0.12402940878417665,-0.13810472130493134,-0.10710101344092912,-0.08904011062421062
1.6500000000000004,-0.11577288291063739,-0.130623782508871,-0.10099974657167349,-0.08368513293628559
1.7000000000000004,-0.10746105670551051,-0.12318164472573236,-0.09491788684379884,-0.07834323267593729
1.7500000000000004,-0.09923358261852616,-0.11573950694259373,-0.0888360271159242,-0.073001332415589
1.8000000000000005,-0.09100989850127021,-0.10849759777914578,-0.08289665893276679,-0.06777873465410272
1.8500000000000005,-0.0829326450177984,-0.1012556886156979,-0.07695728411468933,-0.0625561368926165
1.8999999999999995,-0.07491828480219201,-0.09417110004345855,-0.0711384790652189,-0.057437893154938954
1.9499999999999995,-0.0671108151658959,-0.08724383869734763,-0.06544022387959492,-0.05242400675853001
1.9999999999999996,-0.05942318653914427,-0.08031657735123665,-0.05974197532889103,-0.04741012036212103
2.05,-0.051999038160665714,-0.07380638044959321,-0.05437484246728738,-0.0426872415626249
2.0999999999999996,-0.04474739616973223,-0.06729618354794975,-0.04900771624060386,-0.03796436276312878
2.1499999999999995,-0.03780981196380186,-0.061038020722374055,-0.043845197680897056,-0.03342302533077654
2.1999999999999997,-0.031091164700450327,-0.05503188533794597,-0.03888729342308708,-0.029063229265568202
2.25,-0.024729242591938986,-0.049025753270977905,-0.033929389165277074,-0.024703431541629788
2.3,-0.01862479635405512,-0.04359255319217732,-0.029444153300086224,-0.020765885110970776
2.3499999999999996,-0.01291029670866034,-0.03815935643083676,-0.024958915776165307,-0.016828338680311732
2.4,-0.007482659341581312,-0.03303708197917995,-0.020733397224552964,-0.013124025450166315
2.45,-0.0024676638349211025,-0.02822573315466705,-0.01676759598651924,-0.009652946249899616
2.5,0.0022410291613161265,-0.02341438267142412,-0.012801793089755485,-0.006181867049632915
2.55,0.006525475255639863,-0.0192529856466806,-0.009384343119536594,-0.0032052731034210888
2.6,0.010494414012928074,-0.015091590280667116,-0.005966892734635195,-0.000228679131291606
2.6500000000000004,0.014038615297863443,-0.011258914568221817,-0.0028290378840226124,0.0024949586663779626
2.7,0.01726812364743443,-0.0077549568506146685,0.00002922151977324545,0.0049656401599993336
2.75,0.020083017258019233,-0.004250999962372537,0.0028874809559661747,0.00743632144627945
2.8000000000000003,0.022593363988888122,-0.0013925170285062557,0.00519309393039704,0.009405763129812096
2.8500000000000005,0.024708855450213382,0.0014659658016893987,0.007498706282804144,0.011375203983979724
2.9000000000000004,0.026538183510146102,0.0040163879425193245,0.00953918390934633,0.013103756598533425
2.95,0.02800068066476355,0.006258748771959721,0.011314525980658555,0.014591420144108153
3.0000000000000004,0.02920222314261242,0.00850111001608262,0.013089868051970774,0.016079083689682878
3.0500000000000007,0.030071559208135968,0.010171316801740918,0.014370877057708622,0.017117206515482562
3.1000000000000005,0.03071034866930862,0.011841523587399188,0.015651884404716414,0.018155331000012254
3.1499999999999995,0.031056313832613345,0.013253303551444199,0.016709072673510343,0.018989916039706206
