normalized_radius,true_elevation_m,estimated_elevation_m
0.31500000,-0.4249849354,-0.4258787600
0.31750000,-0.4247768915,-0.4256892385
0.32000000,-0.4244823474,-0.4254220657
0.32250000,-0.4240844084,-0.4250620754
0.32500000,-0.4236864695,-0.4247020850
0.32750000,-0.4232885305,-0.4243420946
0.33000000,-0.4228905915,-0.4239821043
0.33250000,-0.4224926526,-0.4236221139
0.33500000,-0.4220947136,-0.4232621236
0.33750000,-0.4216967746,-0.4229021332
0.34000000,-0.4212988357,-0.4225421429
0.34250000,-0.4209008967,-0.4221821525
0.34500000,-0.4205029577,-0.4218221621
0.34750000,-0.4201050188,-0.4214621718
0.35000000,-0.4197070798,-0.4211021814
0.35250000,-0.4193091408,-0.4207421911
0.35500000,-0.4189112019,-0.4203822007
0.35750000,-0.4185132629,-0.4200222104
0.36000000,-0.4181153239,-0.4196622200
0.36250000,-0.4177173850,-0.4193022296
0.36500000,-0.4172543193,-0.4188751344
0.36750000,-0.4165790986,-0.4182294398
0.37000000,-0.4159038779,-0.4175837452
0.37250000,-0.4152286572,-0.4169380505
0.37500000,-0.4145534365,-0.4162923559
0.37750000,-0.4138782158,-0.4156466613
0.38000000,-0.4132029951,-0.4150009667
0.38250000,-0.4125277744,-0.4143552721
0.38500000,-0.4118525537,-0.4137095775
0.38750000,-0.4111773330,-0.4130638829
0.39000000,-0.4105021123,-0.4124181883
0.39250000,-0.4098268915,-0.4117724937
0.39500000,-0.4091516708,-0.4111267991
0.39750000,-0.4084764501,-0.4104811044
0.40000000,-0.4078012294,-0.4098354098
0.40250000,-0.4071260087,-0.4091897152
0.40500000,-0.4064507880,-0.4085440206
0.40750000,-0.4057755673,-0.4078983260
0.41000000,-0.4050945473,-0.4072470813
0.41250000,-0.4040119292,-0.4062114900
0.41500000,-0.4029293111,-0.4051758988
0.41750000,-0.4018466930,-0.4041403075
0.42000000,-0.4007640749,-0.4031047162
0.42250000,-0.3996814568,-0.4020691250
0.42500000,-0.3985988387,-0.4010335337
0.42750000,-0.3975162206,-0.3999979425
0.43000000,-0.3964336025,-0.3989623512
0.43250000,-0.3953509844,-0.3979267600
0.43500000,-0.3942683663,-0.3968911687
0.43750000,-0.3931857482,-0.3958555774
0.44000000,-0.3921031301,-0.3948199862
0.44250000,-0.3910205120,-0.3937843949
0.44500000,-0.3899378939,-0.3927488037
0.44750000,-0.3888552758,-0.3917132124
0.45000000,-0.3877726577,-0.3906776212
0.45250000,-0.3866900396,-0.3896420299
0.45500000,-0.3856074215,-0.3886064386
0.45750000,-0.3841329844,-0.3871567770
0.46000000,-0.3825566392,-0.3855994199
0.46250000,-0.3809802940,-0.3840420629
0.46500000,-0.3794039488,-0.3824847058
0.46750000,-0.3778276036,-0.3809273487
0.47000000,-0.3762512584,-0.3793699917
0.47250000,-0.3746749132,-0.3778126346
0.47500000,-0.3730985680,-0.3762552775
0.47750000,-0.3715222228,-0.3746979204
0.48000000,-0.3699458776,-0.3731405634
0.48250000,-0.3683695324,-0.3715832063
0.48500000,-0.3667931872,-0.3700258492
0.48750000,-0.3652168419,-0.3684684922
0.49000000,-0.3636404967,-0.3669111351
0.49250000,-0.3620641515,-0.3653537780
0.49500000,-0.3604878063,-0.3637964209
0.49750000,-0.3589114611,-0.3622390639
0.50000000,-0.3573351159,-0.3606817068
0.50250000,-0.3554248974,-0.3587921427
0.50500000,-0.3532658291,-0.3566549710
0.50750000,-0.3511067608,-0.3545177992
0.51000000,-0.3489476926,-0.3523806274
0.51250000,-0.3467886243,-0.3502434556
0.51500000,-0.3446295560,-0.3481062839
0.51750000,-0.3424704878,-0.3459691121
0.52000000,-0.3403114195,-0.3438319403
0.52250000,-0.3381523512,-0.3416947685
0.52500000,-0.3359932830,-0.3395575968
0.52750000,-0.3338342147,-0.3374204250
0.53000000,-0.3316751464,-0.3352832532
0.53250000,-0.3295160782,-0.3331460814
0.53500000,-0.3273570099,-0.3310089097
0.53750000,-0.3251979416,-0.3288717379
0.54000000,-0.3230388734,-0.3267345661
0.54250000,-0.3208798051,-0.3245973943
0.54500000,-0.3187207368,-0.3224602226
0.54750000,-0.3163629322,-0.3201082729
0.55000000,-0.3136397737,-0.3173614789
0.55250000,-0.3109166152,-0.3146146850
0.55500000,-0.3081934567,-0.3118678910
0.55750000,-0.3054702982,-0.3091210971
0.56000000,-0.3027471397,-0.3063743031
0.56250000,-0.3000239812,-0.3036275092
0.56500000,-0.2973008227,-0.3008807153
0.56750000,-0.2945776642,-0.2981339213
0.57000000,-0.2918545057,-0.2953871274
0.57250000,-0.2891313473,-0.2926403334
0.57500000,-0.2864081888,-0.2898935395
0.57750000,-0.2836850303,-0.2871467455
0.58000000,-0.2809618718,-0.2843999516
0.58250000,-0.2782387133,-0.2816531576
0.58500000,-0.2755155548,-0.2789063637
0.58750000,-0.2727923963,-0.2761595698
0.59000000,-0.2700692378,-0.2734127758
0.59250000,-0.2672794494,-0.2705989507
0.59500000,-0.2640502638,-0.2673430819
0.59750000,-0.2608210782,-0.2640872132
0.60000000,-0.2575918925,-0.2608313445
0.60250000,-0.2543627069,-0.2575754757
0.60500000,-0.2511335213,-0.2543196070
0.60750000,-0.2479043356,-0.2510637382
0.61000000,-0.2446751500,-0.2478078695
0.61250000,-0.2414459643,-0.2445520008
0.61500000,-0.2382167787,-0.2412961320
0.61750000,-0.2349875931,-0.2380402633
0.62000000,-0.2317584074,-0.2347843946
0.62250000,-0.2285292218,-0.2315285258
0.62500000,-0.2253000362,-0.2282726571
0.62750000,-0.2220708505,-0.2250167883
0.63000000,-0.2188416649,-0.2217609196
0.63250000,-0.2156124793,-0.2185050509
0.63500000,-0.2123832936,-0.2152491821
0.63750000,-0.2091541080,-0.2119933134
0.64000000,-0.2056426281,-0.2084077949
0.64250000,-0.2021035804,-0.2047900841
0.64500000,-0.1985645326,-0.2011723733
0.64750000,-0.1950254849,-0.1975546625
0.65000000,-0.1914864372,-0.1939369516
0.65250000,-0.1879473895,-0.1903192408
0.65500000,-0.1844083417,-0.1867015300
0.65750000,-0.1808692940,-0.1830838192
0.66000000,-0.1773302463,-0.1794661083
0.66250000,-0.1737911986,-0.1758483975
0.66500000,-0.1702521508,-0.1722306867
0.66750000,-0.1667131031,-0.1686129759
0.67000000,-0.1631740554,-0.1649952651
0.67250000,-0.1596350077,-0.1613775542
0.67500000,-0.1560959600,-0.1577598434
0.67750000,-0.1525569122,-0.1541421326
0.68000000,-0.1490178645,-0.1505244218
0.68250000,-0.1454788168,-0.1469067110
0.68500000,-0.1418656795,-0.1432326696
0.68750000,-0.1382193165,-0.1395333667
0.69000000,-0.1345729535,-0.1358340637
0.69250000,-0.1309265904,-0.1321347607
0.69500000,-0.1272802274,-0.1284354578
0.69750000,-0.1236338644,-0.1247361548
0.70000000,-0.1199875014,-0.1210368518
0.70250000,-0.1163411384,-0.1173375489
0.70500000,-0.1126947753,-0.1136382459
