front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points,fit_diameter
15.0,1.0,8.0,0.47,1.0,0.9824517197744693,5,8.101102716987667
15.0,1.0,8.0,0.48,1.0,0.9838156550174161,5,8.140071127269952
15.0,1.0,8.0,0.49,1.0,0.9841838535419786,5,8.141583420884198
15.0,1.0,8.0,0.5,1.0,0.9844772552128151,5,8.142793339312481
15.0,1.0,10.0,0.05,0.0,0.0,0,0.0
15.0,1.0,10.0,0.06,1.0,0.8345498211137501,4,9.172677225007597
15.0,1.0,10.0,0.07,1.0,0.9050218565494486,7,10.375106647668305
15.0,1.0,10.0,0.08,1.0,0.8995066590946663,9,9.782607831429958
15.0,1.0,10.0,0.09,1.0,0.9091652493709674,9,9.793644971464555
15.0,1.0,10.0,0.1,1.0,0.9227301417442669,11,9.948455196168299
15.0,1.0,10.0,0.11,1.0,0.9292677884673347,11,9.953503679152822
15.0,1.0,10.0,0.12,1.0,0.9348760771033684,11,9.960902135389446
15.0,1.0,10.0,0.13,1.0,0.9436438083685719,12,10.099714364303916
15.0,1.0,10.0,0.14,1.0,0.947774106855792,12,10.105351265790922
15.0,1.0,10.0,0.15,1.0,0.9450499758086971,13,9.912585383682995
15.0,1.0,10.0,0.16,1.0,0.9482609366683235,13,9.917266653054725
15.0,1.0,10.0,0.17,1.0,0.951196160001922,13,9.924121863349189
15.0,1.0,10.0,0.18,1.0,0.953758161708146,13,9.928190988882784
15.0,1.0,10.0,0.19,1.0,0.9560688090524712,13,9.931831001087989
15.0,1.0,10.0,0.2,1.0,0.9582798597618043,13,9.938775081199271
15.0,1.0,10.0,0.21,1.0,0.9601296390266238,13,9.940725140003966
15.0,1.0,10.0,0.22,1.0,0.9618971513551688,13,9.944754800408688
15.0,1.0,10.0,0.23,1.0,0.9633840321284607,13,9.945071766011795
15.0,1.0,10.0,0.24,1.0,0.9647964134902511,13,9.946588342591141
15.0,1.0,10.0,0.25,1.0,0.966321822590633,13,9.953456333804175
15.0,1.0,10.0,0.26,1.0,0.9676097494794138,13,9.956919558234327
15.0,1.0,10.0,0.27,1.0,0.9685601286129848,13,9.953235266317035
15.0,1.0,10.0,0.28,1.0,0.9698927066703588,13,9.962358197773124
15.0,1.0,10.0,0.29,1.0,0.9684411746472175,15,9.907766783337413
15.0,1.0,10.0,0.3,1.0,0.9692633537650299,15,9.907149523620745
15.0,1.0,10.0,0.31,1.0,0.9702522988916922,15,9.911165789088932
15.0,1.0,10.0,0.32,1.0,0.9711584936805159,15,9.914546928387216
15.0,1.0,10.0,0.33,1.0,0.971818158556253,15,9.91375862285368
15.0,1.0,10.0,0.34,1.0,0.9725733623858107,15,9.915547710024379
15.0,1.0,10.0,0.35,1.0,0.9733956760068813,15,9.91938956748171
15.0,1.0,10.0,0.36,1.0,0.974142286557058,15,9.92259760518068
15.0,1.0,10.0,0.37,1.0,0.9746944602245656,15,9.922463402549097
15.0,1.0,10.0,0.38,1.0,0.9753009696698133,15,9.923924874021157
15.0,1.0,10.0,0.39,1.0,0.9757314148722891,15,9.922934082063081
15.0,1.0,10.0,0.4,1.0,0.9762630660595986,15,9.923951394967315
15.0,1.0,10.0,0.41,1.0,0.9769291101868397,15,9.9280652883526
15.0,1.0,10.0,0.42,1.0,0.9773830017138253,15,9.92847868526996
15.0,1.0,10.0,0.43,1.0,0.9779070965703706,15,9.93072367978013
15.0,1.0,10.0,0.44,1.0,0.9782195970322047,15,9.929316218591108
15.0,1.0,10.0,0.45,1.0,0.9787563813924608,15,9.932279458470964
15.0,1.0,10.0,0.46,1.0,0.97919300816645,15,9.933607886403623
15.0,1.0,10.0,0.47,1.0,0.9793651729778441,15,9.930769396000082
15.0,1.0,10.0,0.48,1.0,0.9798915539307679,15,9.934399286425592
15.0,1.0,10.0,0.49,1.0,0.9801911315007331,15,9.934295915886874
15.0,1.0,10.0,0.5,1.0,0.9805427667651635,15,9.934933535698391
