front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points,fit_diameter
15.0,1.5,8.0,0.4,1.0,0.9142233721377346,30,7.649202299378349
15.0,1.5,8.0,0.41,1.0,0.9203539555672661,30,7.674806392105603
15.0,1.5,8.0,0.42,1.0,0.9262829583970417,30,7.699487602263586
15.0,1.5,8.0,0.43,1.0,0.931549008864772,30,7.721379206921322
15.0,1.5,8.0,0.44,1.0,0.9357373964640063,30,7.741966978433438
15.0,1.5,8.0,0.45,1.0,0.9392621441534745,30,7.761852061434948
15.0,1.5,8.0,0.46,1.0,0.9420827916025438,30,7.7788521652996385
15.0,1.5,8.0,0.47,1.0,0.9446572112072098,30,7.795488971758367
15.0,1.5,8.0,0.48,1.0,0.94697352652661,30,7.811216605837484
15.0,1.5,8.0,0.49,1.0,0.9490132916873302,30,7.8255825438573705
15.0,1.5,8.0,0.5,1.0,0.9507906922418002,30,7.837848239282567
15.0,1.5,10.0,0.05,1.0,0.42360971499578326,36,6.6240196735474415
15.0,1.5,10.0,0.06,1.0,0.48667135693315966,38,7.027739411982837
15.0,1.5,10.0,0.07,1.0,0.5382966582663726,38,7.359984417971736
15.0,1.5,10.0,0.08,1.0,0.5808425593214471,40,7.630678983104965
15.0,1.5,10.0,0.09,1.0,0.6164722021645466,40,7.854533160461259
15.0,1.5,10.0,0.1,1.0,0.49515960364036404,40,7.036757802002028
15.0,1.5,10.0,0.11,1.0,0.5394985401843152,40,7.345056433985482
15.0,1.5,10.0,0.12,1.0,0.5374014921428991,40,7.330767300514313
15.0,1.5,10.0,0.13,1.0,0.5655574812476247,41,7.5203555849948
15.0,1.5,10.0,0.14,1.0,0.5296014025074124,42,7.277371795555126
15.0,1.5,10.0,0.15,1.0,0.5826481610939022,42,7.6331393351222285
15.0,1.5,10.0,0.16,1.0,0.5612650237466708,42,7.491762300998817
15.0,1.5,10.0,0.17,1.0,0.5758490108725075,42,7.588471590989239
15.0,1.5,10.0,0.18,1.0,0.6146546189067401,42,7.839991192002324
15.0,1.5,10.0,0.19,1.0,0.6172600129867035,42,7.856589673558773
15.0,1.5,10.0,0.2,1.0,0.6422089339070389,42,8.013793944861815
15.0,1.5,10.0,0.21,1.0,0.6490685106521522,42,8.05647882546806
15.0,1.5,10.0,0.22,1.0,0.6854317859192182,42,8.279080781821241
15.0,1.5,10.0,0.23,1.0,0.6767351792798698,42,8.226391549639914
15.0,1.5,10.0,0.24,1.0,0.7132806250628223,42,8.445594266023098
15.0,1.5,10.0,0.25,1.0,0.759570634498777,42,8.715334959132536
15.0,1.5,10.0,0.26,1.0,0.7846611478043101,42,8.858110113361146
15.0,1.5,10.0,0.27,1.0,0.7884417232918478,42,8.879424098959616
15.0,1.5,10.0,0.28,1.0,0.7980979227734458,42,8.933632647324636
15.0,1.5,10.0,0.29,1.0,0.8071980542416685,42,8.984420149579318
15.0,1.5,10.0,0.3,1.0,0.8156033995476324,42,9.031076345306978
15.0,1.5,10.0,0.31,1.0,0.8234233080762977,42,9.074267508048777
15.0,1.5,10.0,0.32,1.0,0.8306391506118764,42,9.113940698796961
15.0,1.5,10.0,0.33,1.0,0.8373141699738319,42,9.150487254642957
15.0,1.5,10.0,0.34,1.0,0.8436066158465712,42,9.184806017802288
15.0,1.5,10.0,0.35,1.0,0.8770426028692313,43,9.36505527409866
15.0,1.5,10.0,0.36,1.0,0.8820166441899594,43,9.39157411827197
15.0,1.5,10.0,0.37,1.0,0.8866085831602583,43,9.415989502756778
15.0,1.5,10.0,0.38,1.0,0.8908874719899702,43,9.438683552222578
15.0,1.5,10.0,0.39,1.0,0.8949473136797904,43,9.460165504259376
15.0,1.5,10.0,0.4,1.0,0.8987807780916084,43,9.480404939092045
15.0,1.5,10.0,0.41,1.0,0.9023767726385684,43,9.499351412799552
15.0,1.5,10.0,0.42,1.0,0.9056632912650519,43,9.516634338173617
15.0,1.5,10.0,0.43,1.0,0.9088303736451928,43,9.533259535149522
15.0,1.5,10.0,0.44,1.0,0.9271574295448749,44,9.62890144068821
15.0,1.5,10.0,0.45,1.0,0.9296000826961212,44,9.641577063406801
15.0,1.5,10.0,0.46,1.0,0.931831582328443,44,9.653142401976897
15.0,1.5,10.0,0.47,1.0,0.933952898133243,44,9.66412385130304
15.0,1.5,10.0,0.48,1.0,0.9358833415962744,44,9.674106375248694
15.0,1.5,10.0,0.49,1.0,0.93790757882206,44,9.684562864797048
15.0,1.5,10.0,0.5,1.0,0.9397063761769895,44,9.693845347316975
